State,StateName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
GA,Georgia,1.262076494,8.846685302,33.18940952,76.55209743,125.7878677,174.8218,219.081975,267.4795004,307.9627703,346.9096032,391.1185417,429.6630171,472.4781145,523.8249432,595.5803965,709.8413617,863.9613398,1054.965409,1258.083058,1479.383745,1697.209012,1911.439056,2096.152993,2259.550175,2400.53674,2521.60058,2628.984736,2733.190813,2819.408909,3010.232709,3192.328308,3301.001477,3420.796459,3551.153609,3708.646722,3883.635417,4102.015056,4303.675478,4612.764416,4987.280906,5413.246604,5834.743798,6364.569727,6974.557668,7516.805161,7996.824747,8379.077861,8666.53801,8883.749757,9077.198582,9271.648497,9416.040597,9516.118648,9622.941744
HI,Hawaii,0.797388464,5.135351218,14.27671428,27.2524635,35.47566447,40.59053361,42.44733987,43.32524409,44.00115265,44.57606337,44.74768906,45.34308186,47.05863242,51.00319803,56.88579194,62.67727591,72.60543326,86.23660896,97.37532771,121.2072843,172.5841036,256.9038727,365.9130204,478.695108,599.8727286,702.5656274,768.5518182,820.3926626,872.4658726,920.0591579,966.5216912,1005.619858,1048.773477,1086.791038,1138.621994,1180.009916,1227.088324,1271.503356,1316.65433,1372.319673,1437.942837,1492.538167,1562.641256,1653.075278,1721.806067,1777.531444,1826.194034,1865.84663,1892.291817,1915.003616,1941.216438,1967.439853,2000.211177,2040.761453
IA,Iowa,0.860202785,3.432253484,13.37973484,30.61738725,55.3756335,100.8760503,186.9552815,303.2306732,395.445109,476.8607353,559.5847319,629.8297661,701.234204,765.9056693,832.9631355,916.6833066,1011.338259,1131.331159,1245.60501,1354.776281,1459.32927,1559.78441,1674.800876,1823.201704,2067.044788,2238.365551,2388.96221,2574.826232,2774.59993,2968.704656,3197.492924,3440.213371,3735.389072,4225.629542,5062.527614,6025.032725,6809.783301,7332.927637,7795.326253,8163.816968,8529.672559,8789.010386,9101.944172,9455.81461,9718.765669,9959.511833,10156.85864,10316.97744,10456.24978,10565.97793,10683.70242,10787.79774,10885.95277,10984.66912
ID,Idaho,0.471723189,4.436883941,26.41985602,65.27854331,84.36011001,97.00654425,108.1023914,117.7030494,127.0961045,137.4958381,149.7667964,162.9649733,178.9923702,196.3235808,240.6179965,327.5280977,461.0112111,647.3580983,861.8119654,1054.682398,1231.932246,1419.654014,1578.05452,1698.658974,1814.067759,1917.853576,2018.017811,2143.970141,2316.999661,2514.849768,2753.205395,3038.10214,3385.159465,3731.521237,4191.805558,4712.923145,5250.404434,5738.235599,6322.665376,6890.012395,7369.865674,7717.730469,8066.178902,8439.480377,8750.293358,8970.238911,9145.330472,9283.577822,9396.340368,9499.726647,9611.138375,9716.69805,9841.227935,9961.657242
IL,Illinois,1.32467149,10.83735321,41.62890243,99.03635792,173.0701531,252.1928774,363.6820627,501.39826,634.2576967,762.4803097,880.2715095,960.5226431,1019.271737,1059.645887,1095.189318,1136.333444,1180.296028,1234.19065,1299.417503,1376.454576,1462.662706,1558.441048,1658.263165,1767.927198,1874.159523,2001.635834,2099.311535,2202.321908,2313.589026,2427.570828,2574.913503,2783.178755,3040.75247,3406.63974,3957.667726,4632.035838,5261.760405,5773.701665,6296.048532,6769.860228,7162.738726,7470.077584,7802.240893,8186.626926,8486.578212,8740.854452,8929.13268,9084.349992,9204.452225,9303.97115,9403.782061,9495.598857,9583.260133,9684.871417
IN,Indiana,0.413830863,4.653591929,28.35187031,73.80924477,123.0564543,174.0776704,237.7268179,310.5386203,373.4132832,429.8667349,482.6725037,531.1749365,573.5829449,613.8243572,649.6415224,689.278082,735.2425701,794.1681636,870.7084544,958.0114669,1043.139417,1139.895924,1232.124059,1327.539404,1428.911181,1520.525996,1611.839573,1697.135224,1790.659811,1907.753447,2062.018036,2252.485993,2484.493894,2792.462782,3233.633517,3849.068338,4507.999963,5092.103659,5786.126536,6429.989874,6992.23926,7443.563556,7928.553275,8459.127667,8849.128497,9149.889063,9378.009539,9561.489755,9695.578382,9795.878595,9884.437806,9967.22314,10046.889,10127.85784
KS,Kansas,0.529637382,3.250936906,13.09264981,29.54916634,47.66770763,71.15127309,118.9367161,184.8410436,247.3962642,286.8111711,318.3021123,345.262131,367.6912272,394.0824779,432.4775839,495.6407033,581.3015693,687.0869395,798.9918011,901.6240611,996.7442576,1095.669399,1211.134124,1333.993864,1480.444607,1620.000796,1735.59836,1879.376545,2037.375305,2185.385441,2361.277569,2550.806401,2761.200132,3091.359188,3592.467547,4244.969475,4919.233217,5480.39106,6066.223552,6613.165968,7124.164783,7495.960271,8045.202131,8572.098305,9001.565228,9338.452017,9591.51674,9815.415022,9966.759505,10119.47699,10207.74657,10279.33927,10336.55933,10387.84594
KY,Kentucky,0.575467363,3.123997661,11.59440272,25.5262639,46.3583615,68.27782606,94.40843141,122.4478604,151.7727461,179.7067511,202.2113078,227.7151886,260.7686373,287.6282575,316.7485624,351.4357474,390.5516362,453.9340726,537.5921649,634.5330108,730.7287261,829.6968019,934.0432928,1035.300927,1146.132002,1269.692522,1373.185325,1480.428626,1595.416674,1723.412389,1865.3046,2033.628245,2248.345168,2512.707846,2816.953927,3204.762076,3664.51551,4120.902089,4645.425706,5125.643708,5537.951636,5858.191949,6316.282772,6935.336136,7441.774275,7879.675616,8256.733651,8580.126612,8813.290498,8998.065436,9159.229648,9288.066293,9408.982484,9513.683969
LA,Louisiana,3.752155935,27.03303265,105.8246504,314.2965681,451.3581372,525.8445524,583.2202933,640.2028139,689.4906507,751.7863773,815.1884123,869.153161,931.8545842,1018.973953,1094.575711,1239.829943,1442.140478,1729.271936,2034.749012,2347.887,2616.989051,2841.154717,2982.718314,3093.794649,3205.789932,3316.214915,3413.945423,3500.050551,3580.065281,3667.774696,3762.991219,3860.282258,3962.148893,4053.80105,4172.258655,4434.634015,4764.519787,5067.415549,5446.629169,5819.573851,6206.42386,6527.800544,6981.887561,7522.218236,7970.196141,8316.138336,8654.143204,8883.960012,9036.792338,9139.255041,9260.026794,9343.556845,9418.799155,9485.99013
MA,Massachusetts,2.951467703,16.11475541,86.07279533,206.0374874,386.4198536,577.5633322,821.7811439,1002.673339,1140.663849,1260.987046,1349.924258,1439.246962,1503.627492,1534.18243,1556.026018,1577.927641,1598.867639,1622.86052,1650.73762,1682.532021,1723.377705,1760.685342,1796.086124,1828.607982,1832.096265,1780.315366,1814.916004,1854.132526,1902.305012,1964.303969,2026.197305,2098.074676,2203.085149,2333.846355,2515.33543,2767.671773,3028.060198,3310.34836,3776.824036,4274.808295,4755.038046,5192.747685,5704.871365,6346.578884,6866.63263,7297.970853,7633.055365,7906.12641,8110.928642,8280.319791,8446.543875,8596.885195,8756.114143,8940.598212
