state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
MT,0,0,3.14,5.86,6.57,11.43,14.71,16,16,16,16.43,17,18,19,20.57,22,23.29,31.57,39.29,49.43,63,76.29,83.57,93.43,105.29,118.43,138,158.86,175.14,190.14,215.57,252.14,307.71,389,457.86,534.29,620.29,688.57,751.57,824,885.86,934.14,991.43,1061.57,1092.57,1164.71,1256.29,1316.29,1330.71,1344.86,1364.86,1384.71,1396.43,1420
NE,0,0,3.43,10.43,20,34.14,57.57,79.86,101.14,133.86,157.86,183.43,200.86,229.71,256.57,275.71,287.57,298.86,311.71,325.43,339.43,355.71,367.43,385.86,403.43,421.14,451.43,466.14,488.86,508.43,530.86,569.71,618.71,663.86,731.57,819.29,965.86,1074.43,1263.86,1433,1544.43,1627.29,1747.71,1840.57,1917.14,1985.14,2035.14,2093.71,2131.29,2172.86,2204.86,2225.43,2237.29,2252.86
NV,0.57,5.14,21.86,59.29,119,167.43,219.86,270.57,316.57,362.86,396.71,421.29,443.86,467.14,489,506.71,544.71,603,668.14,753.57,856.71,971.71,1096.86,1219.29,1316.71,1399.29,1470.43,1540.57,1589.14,1628.57,1674.43,1720,1754,1796,1860.29,1926.71,2039.86,2168.71,2348.57,2581.14,2816,3012,3229.14,3521.43,3802,4066,4311,4542.71,4730.43,4888.71,4968.29,5048.57,5128.43,5183.43
NH,0,0.57,3.14,12.29,26.29,42.71,61.57,93.43,137.29,177.86,214.29,252,290.86,322.86,343,369.29,382.29,392,399.14,409.86,417.14,419.57,424.43,429.29,432,432.86,436.43,438,439.14,444.71,456.29,467.57,475.29,483.43,490.14,501.14,511.43,528.71,565.86,607.86,660.43,721.29,789.14,872.29,935.86,993,1060.14,1105.86,1136.86,1155.43,1171.43,1184.29,1200.43,1219.86
NJ,3.57,37.43,252.71,1121.71,2626.71,4524.71,6271.71,8093.57,9398.43,10479.14,11182,11743.43,12238.29,12667.86,13181.86,15007,15277.86,15567.14,15711.14,15794.86,15839.86,15878.43,15917.71,15937.71,15947.14,15994.57,16038.43,16072.86,16111.29,16142.86,16179.14,16223.71,16299,16366.43,16448.86,16596.86,16803,17045,17399.14,17839.29,18292.86,18751.43,19335.71,19983.71,20510,21053.14,21557.86,22067.57,22508.57,22924,23307.14,23615,23945.14,24208.14
NM,0,0.29,3.86,13,30.29,61.57,103.57,154.29,210.29,271.43,319.43,362.57,401.43,441,472.71,495,518.71,549.29,579.71,619.14,656.57,688,718.86,749,779,805.71,826.14,851.14,873.14,893.14,913.71,938.71,976.14,1039,1131.14,1244.71,1402.29,1575.71,1772.43,1985,2193.14,2383,2584.29,2772.29,2959.43,3157.57,3301.14,3422.71,3541.57,3636.43,3729.14,3818.29,3861,3899.14
NY,15.29,233.57,1654.14,6317.71,13006,18388.29,22262.29,24918.57,27012.86,28259.71,29129.14,29769.71,30246.71,30642.57,30924.71,31405.86,31908.57,32066.71,32202.86,32319.57,32394,32364.43,32432.57,32484.57,32541.29,32596.86,32642.57,32687.86,32735.43,32824,32896.14,32984.29,33078,33189,33343.71,33544,33814.29,34165.43,34641.71,35305.29,36170.57,37136,38177,39406.29,40761.57,42078.43,43343.71,44521,45551.86,46454.86,47243.29,47931,48534.57,49025.43
NC,0,0.43,8.14,45.29,103.57,202.29,331.14,459.71,581,694.29,791.86,934.14,1052.14,1164.29,1261.86,1355,1438.29,1557,1687.57,1836.71,2026.29,2223.57,2407.86,2584.29,2748.86,2938.43,3116.57,3298.57,3498.71,3676.43,3824.86,4002,4215.86,4451.43,4663.29,4854.43,5093.29,5320.86,5618,5921.71,6302.57,6629.71,7029.43,7638,8167.43,8792.43,9439.29,10077,10583.71,10999.29,11303.71,11561,11744.29,11896.14
ND,0,0,2.14,3.57,8.29,11.86,17.71,26.29,36.71,45.14,54.86,65.57,75.29,77.71,83.86,88,89,91.29,97.14,104.14,109.71,119,129.86,140.43,148,159.57,174.43,199,239.14,286.29,352.14,414.14,471.86,551.71,659.57,757.57,863.86,943.29,1044.14,1171.71,1243.43,1280.43,1327.71,1362.71,1407,1437,1446.57,1455.29,1461.57,1468.29,1475.71,1480,1488.43,1493.29
OH,0,6.71,45.43,146.71,297,524.57,799,1106.86,1398.29,1687.14,1989.71,2219.57,2410.57,2576.14,2718.57,2837,2945,3062.43,3188.14,3355.86,3550.86,3694.14,3853.29,4001.43,4152,4287.86,4469.86,4642.14,4766.43,4940.86,5011.86,5093.71,5226.14,5356.71,5552.71,5766.71,6088.71,6503.43,7057.14,7610.14,8176.57,8650.14,9182.14,9735,10276.57,10793,11269.71,11829,16256.14,16897.14,17045.86,17570.57,17922.86,18358
OK,0.14,3,20.43,57.57,105.43,152.86,202.43,243.43,274.57,292.29,315.43,336.43,350.43,361.29,370.14,386,402,425.86,458.71,505.57,561.86,613.43,673.86,740.14,806.71,856.43,909,955.57,1013.43,1061.14,1111.71,1184,1263.43,1363.14,1450.14,1539.57,1647.71,1758,1912.57,2077.57,2233,2397.86,2570.14,2787.29,3017.14,3303.43,3574.71,3831.29,4040,4209.14,4458.14,4605.57,4738.29,4805.71
OR,1.57,6.57,16,31.29,54.43,75.71,94.14,111.43,129.86,139.71,148.14,155.14,165.86,179.57,192,207.43,221.71,242.14,266.29,298.14,334.29,366.71,396.43,430.71,466,489.29,512.29,532,552.57,578.14,603.86,630.71,661.14,695.71,735.43,776,841.71,927,1061.57,1198.86,1363.71,1450.86,1532.71,1650.57,1811.71,1903.43,1987.14,2044,2137.43,2175.43,2235.86,2308.43,2341,2376.29
PA,0.29,6.86,55.29,209.86,651,1413,2072.71,3050.43,3929.71,4620.29,5188.43,5629.57,6048.86,6315,6505.86,6678.86,6824.57,6971.71,7090.86,7191,7289.57,7401.29,7552.14,7659.43,7758.29,7855.43,7938.57,8078.43,8191.57,8307,8444.71,8579.43,8751.43,8918,9139.57,9437.14,9984.29,10557.43,11548.14,12805.71,14141.57,15298.29,16571.14,18007.14,19475.57,20779.86,21808.14,22577.71,23198.86,23704.57,24099,24418.57,24657.43,24876
RI,0,0,5.57,27.29,73.29,157.29,233.14,335.57,434.71,514.14,622.57,724.57,794,853.71,903.29,941.71,964.86,981.71,994.14,1004.14,1009.71,1015.71,1023.57,1035.57,1048.86,1058.29,1076,1095.43,1110.71,1121.86,1136.43,1160.14,1184.29,1208.71,1233.57,1268.86,1312.29,1368.86,1448.43,1549.14,1661.57,1738.29,1836.57,1949.71,2028.43,2109.14,2175.43,2236.14,2323.86,2436.14,2517.29,2550,2577.43,2601.14
SC,0.57,5.57,20.14,49.57,90.57,129.14,191.71,285.43,345,394,443,501.14,559.57,605.57,663.43,732.86,841.14,982,1198.57,1527.71,1816.71,2068.14,2303.57,2528.14,2734.29,2906.57,3085.29,3222.86,3345.71,3463.86,3566.86,3674.57,3828.86,3951.14,4045.57,4143.57,4289,4391.43,4568.86,4749.57,4958.71,5176.86,5482.14,5827.86,6227.14,6590.86,7211.43,7682.43,8023.43,8331.86,8562.71,8756.86,8886.86,9020.71
SD,1,1,1.14,4,6.14,7.71,11.86,24,36.29,45,51.14,61.86,67.14,76,82.57,91.71,97.86,109.86,118,124.43,135.43,146.14,153.43,160.86,167.29,173.14,185.29,202.29,221.71,251.29,288.57,325.43,376.29,443.29,540,642.86,810.71,956.43,1115.71,1261.86,1374.57,1452.29,1513,1585.57,1656,1713.86,1778.29,1810.43,1841.71,1862.43,1888.29,1900.71,1912.29,1923
TN,0,2,14.29,64.29,118.86,157.29,186.14,220.29,255.71,298.86,335.71,371.71,422.29,479.14,529.86,588.43,653.71,746.57,851.29,973.86,1092.29,1236.57,1382.71,1581.86,1733.71,1868.71,2076.71,2220.71,2382.86,2575.43,2759.86,2907.86,3137.29,3376.71,3617,3919,4285.57,4565.14,4980.14,5493.57,6116.71,6566.43,7107.57,7837.29,8377.86,8962,9703.71,10483.14,10859.86,11086.14,11334.43,11472.86,11546.14,11635.71
TX,1.14,9.86,48.29,159.57,330,528.29,714.86,926.86,1146,1382.29,1551,1712.86,1872.43,2037.14,2231.57,2451.43,2776.43,3382.43,4229.86,5942.71,7781.43,9206.86,10674.29,11912.14,12941.14,13790.71,14571.71,15270.86,15924.86,16565.57,17128.14,17603.43,18109.86,18689.43,19367.14,20236.71,21240.86,22106.86,23368.43,24700.14,26203.86,27419.14,28864.14,30871.57,33040.14,35377.57,37588.57,39777.86,41466.71,42591.14,44190.29,45638.57,46747.29,47644
UT,0,0.71,4.14,10.71,18.71,29.14,42.57,53,69.57,83.57,99.57,113.14,124.57,143.71,159.43,169.86,190.86,220.43,251.57,286.86,319.43,345.57,370.14,393.71,410.43,424.71,435.29,441.29,454.14,486.14,520.86,549.14,578.14,615.71,666.57,727.43,805,880.71,962.29,1070.29,1168.86,1231.57,1312,1414.29,1503.86,1600.14,1678.71,1746.71,1797.43,1859.29,1940,1985,2028.86,2070
VT,0.29,4.57,13.14,21.57,27.43,37.57,45.57,51.43,53,53.71,54.14,55,55,55.14,56,56,56,56,56,56.14,57.14,58,58,58,58,58,58,58,58,58,58,58,58,58,58.86,59.43,63.29,70.14,82.29,98.43,112.29,128.14,145,157.43,164,170.71,175.71,184.29,190.29,198.14,205.29,209.14,214.71,219.86
VA,1.29,6.71,20.29,63.14,156.86,303.14,474.43,676.57,871.57,1030.86,1218.43,1396.43,1484.57,1558.86,1631.57,1751.57,1874.71,1975.71,2035.57,2094.71,2234.57,2335.86,2392.86,2479,2596,2684.57,2791.86,3033.86,3176.29,3284.43,3365.43,3463.43,3589.86,3663,3718.71,3825.86,3963.71,4081.57,4234.43,4447.86,4685.86,4901.57,5163.71,5446.29,5775.57,6135.71,6501.14,6841.57,7027.43,7505.71,8791.43,9681,10066.43,10124.43
WA,52,112.86,221.43,376.14,532.71,661.86,774.43,856.43,953.71,1028.57,1083,1134.14,1173.71,1225,1279.14,1323.43,1375.43,1453.14,1521.86,1616,1687.86,1777.43,1875.14,1955.57,2007.71,2050.57,2096.43,2148.57,2207.29,2254.71,2302.71,2360.86,2424.43,2494.71,2577.29,2668.29,2778,2903.57,3085,3100.14,3202.86,3368,3591.43,3834.14,4008.57,4232.86,4409.86,4590.71,4775,4933.14,5048.43,5130.71,5197.71,5241.29
WV,0,0.29,2.29,5.86,16.43,31.71,45.57,52.57,63.29,71,74.57,81.57,86.71,88.43,92.43,93.71,95.57,99.14,103,114.86,130,155.71,171.29,202.43,238.29,261.43,298.71,327.71,354.29,375.29,394.86,418.57,447.71,491.71,565.71,637,711.86,804.57,934.57,1084.57,1230,1349.43,1534.43,1723,1860.29,1991,2092.57,2190.71,2243.29,2291,2315.71,2440.71,2585.57,2626.71
WI,0.29,5.43,23.57,83.29,160.71,231,286.71,347,409.14,463.57,519,600.43,658.57,708.14,755.86,788.71,810.43,831.14,861.57,908.14,964.43,1013.43,1055.86,1099.29,1137.57,1181.29,1224.29,1257.43,1309.71,1400.14,1503.71,1640.71,1868,2148.86,2461,2830.29,3241,3577.43,4020.57,4397.29,4816.86,5109.14,5335.71,5612.57,5945,6233.71,6462.29,6647.43,6771.43,6904.86,7039.57,7125.57,7186,7245.86
WY,0,0,0,0,0.86,3.86,7,7,7,9.29,12.86,16.43,17.29,18,20,20,20.43,21.71,24.43,25.43,26.57,28.43,32.14,37,38.71,42,44.71,49.29,50.43,53.14,55.29,59.71,74.57,93,117,149.29,194.57,225.29,275.57,327.29,360.43,396,452.71,503.14,534,581.71,608,633.86,653.43,665.86,675.71,685.86,691.86,693.86
