state,county,latitude,longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
AK,WRANGELL CITY AND BOROUGH,55.95,131.96,0.43,1.86,3.86,7.71,8,8,8,8,10.14,14.57,14,14.71,16.71,18,18,19,19,19,19,19,19,19,19,19.29,19,19.14,21.14,22,23.29,23.14,24,24,24.43,24,24.57,25,25,25.86,26.86,28,29,29.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,YAKUTAT PLUS HOONAH-ANGOON,59.51,139.71,0.14,4.43,7.43,10,12,12.71,22,24.71,26.14,28.57,29.86,30.71,31.14,33.71,36.86,37,38.43,41.43,45.57,48,49,51,51,51,55.29,58.14,60.14,62,63,63,63.14,64.71,65.57,65.57,68,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,YUKON-KOYUKUK CENSUS AREA,62.63,160.2,0.43,1,1,1,1,1,1,1,1,1,1,1.14,2.14,3.14,5,16,33.57,42.86,48.71,55.14,62,69.29,73.14,74.71,78.29,81.29,83.57,86.86,96.43,104.57,115.14,124.43,131.29,143.14,162.71,175,185.57,196.57,205.14,207.86,221.14,242.86,256.14,262.86,268.57,306.86,321.29,332.14,333,335.57,342.14,345.57,-1,-1,-1
AL,AUTAUGA,32.43,86.65,2.43,8.29,13.43,22.29,30.14,40,55,88.14,128.43,182.86,234.57,288.71,374.71,456.57,535.29,635.71,741.29,871.86,973.86,1071.86,1218.71,1287,1354.86,1446.57,1517,1604.86,1711.14,1786.14,1844.71,1925.86,2007.86,2090.43,2199.86,2333.57,2505.86,2659.29,2827.86,3092.86,3434.29,3840.14,4113,4510.71,4967.71,5231,5461.43,5722.71,5914.29,6041,6153.71,6293.57,6377.71,6466.14,6525.86,-1,-1
AL,BALDWIN,30.88,87.77,1.57,13.57,35,74,114.29,159.57,184.29,219,255.29,274.43,294,327.29,377.86,430.71,592.57,900.57,1303.86,1907.86,2693.86,3208.43,3619.71,3924.14,4142,4471.86,4707.86,4939,5073.43,5494,6068.14,6206.29,6365.71,6647.71,6943.29,7237.86,7648,8202.71,8833.71,9725.43,10774.14,11842.43,12892.29,14103.71,15302.29,16254.57,17231.57,18103.14,18704,19098.43,19451.43,19745.43,19932.71,20144.29,20341.43,-1,-1
AL,BARBOUR,31.88,85.45,0.14,4.14,11.86,25.57,36.57,47.29,66.71,90.71,122.71,172.29,204.14,246.43,286.57,327.14,362.29,429.29,512.29,575,613.71,640.71,678.57,723,763.71,779.71,805,847.43,890.71,925.57,951.71,990.29,1042.14,1072.71,1104.86,1135.43,1165.14,1193.14,1239,1290.14,1362,1458,1573,1677.29,1750.14,1871,1966.86,2018.14,2050.29,2085,2124.57,2153.43,2195,2215,-1,-1,-1
AL,BIBB,32.94,87.17,1.14,6.14,14.86,28.43,38,42.43,45.29,49.71,60,75.14,82.86,107.29,129.29,162,192.57,227.14,269.14,321.43,374,442,484.71,520.43,547.43,579.14,605.71,629.29,654.71,684.57,730.71,781.86,836.14,878.29,930.71,986.86,1095.43,1192.71,1290.86,1442,1615.71,1756,1883.57,2049.14,2151.14,2227.57,2299.29,2343.86,2392.29,2418.86,2449.86,2463.14,2489.71,2527.29,-1,-1,-1
AL,BLOUNT,33.9,86.51,0.14,4.71,9.29,13.71,22.29,33,39.71,44.43,46,49.71,62.29,72.86,108.86,148.71,194.57,241.29,331,483.14,645.86,801.14,930.29,1008.29,1122.43,1265,1375.29,1456.57,1548.14,1614,1655.29,1714.43,1820.57,1937.57,2096.43,2310.14,2542.86,2759.43,2970.43,3316.43,3773.86,4211,4479.86,4761,5067.43,5297.57,5479.29,5695.43,5903.14,5969,6040.57,6114.14,6251.57,6317.14,6385.43,-1,-1
AL,BULLOCK,32.17,85.9,0.29,2.71,2.43,6,10.14,12.14,16,24.86,47,137.71,210.14,238.43,298.86,331.14,362,373.57,384.14,400.57,421.71,447.14,481.29,513,536.57,553,567.86,579.43,590.86,606.43,614.86,625.14,634.71,648,655.86,665,676.86,689.43,701.57,716.29,730.86,757.29,828.29,908.86,959,995.86,1049.57,1087.43,1127.57,1141.71,1155.43,1169.14,1177.57,1189.43,1195.43,-1,-1
AL,BUTLER,31.66,86.72,0.29,1,1.71,7.71,15.43,37.71,111.57,204,287.71,361.43,412.43,458.71,539.43,578.29,603.57,634.43,658.71,689.57,729.71,764,781.57,810.57,827.29,863.14,890.29,899.57,909.86,915.43,927.43,963.14,995.57,1011.29,1027.43,1054.43,1091.29,1137.43,1177.57,1246.14,1329.71,1407.14,1469.43,1558.14,1639,1698.43,1751.43,1822.43,1869.86,1908.71,1943.86,1976.71,2020.14,2055.43,2074.14,-1,-1
